Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species
100	13	11	8	7	7	7	7
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	96	96
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	99	99	99	96	96	46	46
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	66	60	25	16	12	2	2
100	100	100	100	100	86	86	86
100	100	100	100	96	96	91	60
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	98	92
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	18	16	13	12	12	12	12
100	12	9	7	7	7	7	7
100	100	100	100	100	100	100	75
100	100	100	100	100	100	100	100
100	100	97	97	97	97	97	97
100	100	100	100	100	100	36	36
100	100	100	100	100	100	59	59
100	100	100	100	100	100	100	100
100	29	25	20	14	14	14	14
100	100	100	100	100	100	29	29
100	100	100	100	100	100	23	23
100	100	100	100	100	100	100	90
100	94	94	94	82	82	42	42
100	100	100	100	100	92	60	60
100	100	100	100	100	99	99	99
100	100	100	100	57	57	32	32
100	100	100	100	100	100	95	64
100	100	100	100	100	100	100	100
100	100	100	100	100	98	62	62
100	100	100	100	100	100	100	100
100	100	100	100	100	97	37	37
100	100	100	100	100	100	100	97
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	93	59	45
100	100	100	100	100	100	100	100
100	100	100	100	100	100	81	81
100	100	100	100	100	100	100	100
100	100	100	100	100	97	45	32
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100
100	89	88	88	88	44	20	16
100	100	100	100	100	100	100	100
